reactant_A,reactant_B,label_str,label_int,identifier
[S]1C2=C(OCCO2)SC1=C1C=CSC=C1,F[P](F)(F)(F)(F)F,salt,1,RECROH
CN(C)C1CCCC1[N](C)(C)C,FC(F)(F)S(=O)(=O)[O],salt,1,RECRUM
C[N](C)(C)C1CCCC1C(C)(C)C,FC(F)(F)S(=O)(=O)[O],salt,1,RECSAT
c1ccc(cc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[I]c1ccccc1,salt,1,REDCAE
c1ccc(cc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,Br[I]c1ccccc1,salt,1,REDCEI
O=N(=O)c1cc(cc(c1)N(=O)=O)C#N,c1cc2ccc3cccc4ccc(c1)c2c34,cocrystal,2,REDCIM
O=N(=O)c1cc(cc(c1)N(=O)=O)C#N,c1ccc2cc3ccccc3cc2c1,cocrystal,2,REDCUY
CN(C)c1ccccc1,O=N(=O)c1cc(cc(c1)N(=O)=O)C#N,cocrystal,2,REDDAF
O=N(=O)c1cc(cc(c1)N(=O)=O)C#N,Nc1cccc(N)c1,cocrystal,2,REDDEJ
BrC1=C(Br)C(=O)C(=C(Br)C1=O)Br,Cc1cc(C)c(C)cc1C,cocrystal,2,REDDOT
ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,Cc1cc(C)c(C)cc1C,cocrystal,2,REDFAH
c1cc2ccc3cccc4ccc(c1)c2c34,BrC1=C(Br)C(=O)C(=C(Br)C1=O)Br,cocrystal,2,REDFIP
BrC1=C(Br)C(=O)C(=C(Br)C1=O)Br,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,cocrystal,2,REDFOV
CC1CCCC(=O)C1,OC1(c2ccccc2)c2ccccc2C(O)(c2ccccc2)c2ccccc12,cocrystal,2,REDJAM
CC(C)(OO)OO,O=P(CP(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,cocrystal,2,REDSAX
CCC(C)(OO)OO,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,cocrystal,2,REDSIF
O=P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,CC(OO)(OO)c1ccccc1,cocrystal,2,REDSOL
CCC(CC)(OO)OO,O=P(CCP(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,cocrystal,2,REDSUR
O=P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,OOC1(CCCCC1)OO,cocrystal,2,REDTAY
C[N](C)(C)C,FC(F)(F)C(F)(F)[PH](F)(F)(F)C(F)(F)C(F)(F)F,salt,1,REDVUV
S,CC(=NNC(N)=S)c1ccc(Nc2ccnc3cc(Cl)ccc23)cc1,hydrate,3,REDZIM
c1ccccc1,CCCCOc1c(C#N)c(C#N)c(OCCCC)c(C#Cc2ccc(cc2)N(C)C)c1C#Cc1ccc(cc1)N(C)C,cocrystal,2,REDZUY
FC1=C(F)C(C(=C(F)C1=C(C#N)C#N)F)=C(C#N)C#N,CC1(C)CCCC(C)(C)N1[O],cocrystal,2,REFCEK
CC(C)(C)P1(=S)c2ccccc2C=C1P(=S)(c1ccccc1)c1ccccc1,c1ccccc1,cocrystal,2,REFCIO
NC(=O)c1cc[nH]cc1,O=P1([O])Oc2ccc3ccccc3c2c2c(O1)ccc1ccccc21,hydrate,3,REFFEO
OC(=O)c1cc[nH]cc1,O=P1([O])Oc2ccc3ccccc3c2c2c(O1)ccc1ccccc21,salt,1,REFFIS
ClC1=C(Cl)SC(S1)=C1[S]C2=C(SCCS2)S1,FC1=C(F)[C](C(=C(F)C1=C(C#N)C#N)F)=C(C#N)C#N,salt,1,REFHOZ
ClC1=C(Cl)SC(S1)=C1[S]C2=C(SCCS2)S1,O=[Cl](=O)(=O)[O],salt,1,REFHUF
CC1(C)C2=CC=CC3=C2N2C4=C3C=CC=C4c3cccc1c23,CC1(C)c2cccc3C4=CC=CC5=C4N(c23)C2=C5C=CC=C12,cocrystal,2,REFJUL
CCc1ccccc1N1C(=O)N=C2N(c3ccc(cc3)C(C)(C)C)c3ccccc3C=C2C1=O,NC(N)=O,solvate,4,REFMOE
OC(=O)C1CC(=O)C2=C1c1c(O)c(O)c(O)cc1C(=O)O2,c1ccncc1,cocrystal,2,REFNIA
Cc1ccc(cc1)C1c2cc(C)cc(Cc3cc(C)cc(C(c4ccc(C)cc4)c4cc(C)cc(Cc5cc(C)cc1c5O)c4O)c3O)c2O,c1ccncc1,cocrystal,2,REFPAT
N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,[N]1c2ccccc2N(N=C1c1ccccc1)c1ccccc1,cocrystal,2,REFQEY
Cc1ccc(C)cc1,C1C=CCC23c4ccccc4C(C4c5ccccc5C12c1ccccc41)c1ccccc31,cocrystal,2,REFVED
NC1C(=O)C(=O)C2(CCCCC2)c2ccccc12,CN1C(=O)C(=O)C2(CCCCC2)c2ccccc12,cocrystal,2,REGCIR
[S]1C(SC2=C1SC(S2)=C1SCCCS1)=C1SCCCS1,I[I]I,salt,1,REGDUD
Nc1nc(N)nc(N)n1,O=C1CCCC(=O)N1,cocrystal,2,REGKIX
Nc1nc(N)nc(N)n1,O=C1CCC(=O)N1,cocrystal,2,REGKOD
Cc1cc(ccc1O)C(C)(C)c1ccc(O)c(C)c1,O=C1C=CC(=O)C=C1,cocrystal,2,REGKOF
NC(N)=O,C[N]1(C)CC(O)CC1C(=O)[O],cocrystal,2,REGKUK
Cc1cc(ccc1O)C(C)(C)c1ccc(O)c(C)c1,CC1=CC(=O)C(=CC1=O)C,cocrystal,2,REGKUL
Oc1ccc(cc1)C(c1ccc(O)cc1)(C(F)(F)F)C(F)(F)F,CC1=CC(=O)C(=CC1=O)C,cocrystal,2,REGLAS
I[I]I,CSC1=[S]c2c(SC)c(SC)c(SC)c(SC)c2S1,salt,1,REGLUK
CS(=O)(=O)[O],CC[N]1=C(C)Sc2ccccc12,salt,1,REGSEF
N#CCc1ccccc1,N#Cc1cc(C#N)c(cc1C#N)C#N,cocrystal,2,REGWIJ
O=C([O])c1ccc(cc1N(=O)=O)N(=O)=O,Cc1[nH]c2ccccc2cc1,salt,1,REHFIU
CC1C[NH2]C(C)(C)CC(C)NC(C)C[NH2]C(C)(C)CC(C)N1,[S]C#N,salt,1,REHKIZ
[N]1=C2C=CC3=NSSC3=C2SS1,O=[Cl](=O)(=O)[O],salt,1,REHMOG
c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,N#Cc1cc(C#N)c(cc1C#N)C#N,cocrystal,2,REHMUM
Oc1ccc(O)cc1,N#Cc1cc(C#N)c(cc1C#N)C#N,cocrystal,2,REHNAT
Oc1c(C#N)c(C#N)c([O])c(C#N)c1C#N,C[NH](C)c1ccc(cc1)c1ccc(cc1)[NH](C)C,hydrate,3,REHNEX
CCOc1ccccc1C(N)=O,OC(=O)c1ccccc1O,cocrystal,2,REHSAA
S=C1C=CNC=C1,NC(N)=S,cocrystal,2,REHSAC
CCOc1ccccc1C(N)=O,OC(=O)c1ccc(cc1Cl)N(=O)=O,cocrystal,2,REHSEE
S=C1NC=CC=C1,S=C1NC(=S)NC(=S)N1,cocrystal,2,REHSEG
CCOc1ccccc1C(N)=O,COc1cc(ccc1O)C(O)=O,cocrystal,2,REHSII
S=C1NC=CC=C1,NC(N)=S,cocrystal,2,REHSIK
CCOc1ccccc1C(N)=O,Nc1ccc(cc1)C(O)=O,cocrystal,2,REHSOO
S=C1C=CNC=C1,S=C1NC(=S)NC(=S)N1,cocrystal,2,REHSOQ
CCOc1ccccc1C(N)=O,OC(=O)c1ccc(O)cc1,cocrystal,2,REHSUU
OC(=O)C=CC(O)=O,CCOc1ccccc1C(N)=O,cocrystal,2,REHTAB
C1CCC2C(C1)N(Cc1ccccc1)P=[N]2Cc1ccccc1,FC(F)(F)S(=O)(=O)[O],salt,1,REHTUT
Cc1ccc(cc1)S(=O)(=O)[O],Cc1[nH]c2nc(N)ccc2c(C)c1,hydrate,3,REJJOI
Cc1[nH]c2nc(N)ccc2c(C)c1,O=S(=O)([O])c1cccc2c1cccc2S(=O)(=O)[O],hydrate,3,REJJUO
Oc1ccc(cc1C(=O)[O])N(=O)=O,Cc1cc(C)c2ccc(N)[nH]c2n1,salt,1,REJKAV
Cc1cc(C)c2ccc(N)[nH]c2n1,OC(=O)c1cccc(n1)C(=O)[O],salt,1,REJKEZ
Cc1[nH]c2nc(N)ccc2c(C)c1,OC(=O)c1cc2ccccc2c(Cc2c(O)c(cc3ccccc23)C(=O)[O])c1O,solvate,4,REJKID
Cc1cc(C)c2ccc(N)[nH]c2n1,ClC(Cl)(Cl)C(=O)[O],salt,1,REJKOJ
OC(=O)CCC(=O)C(=O)[O],Cc1cc(C)c2ccc(N)[nH]c2n1,hydrate,3,REJKUP
NC(N)=[NH2],O=N(=O)[N]N1N=NN=C1C1=NN=NN1[N]N(=O)=O,salt,1,REJMAX
NNC(N)=[NH2],O=N(=O)[N]N1N=NN=C1C1=NN=NN1[N]N(=O)=O,salt,1,REJMEB
COC(=O)C(C)N1C(=[NH]c2ccccc12)c1ccccc1,O=N(=O)c1cc(c([O])c(c1)N(=O)=O)N(=O)=O,salt,1,REJMOI
O=N(=O)[N]N1N=NN=C1C1=NN=NN1[N]N(=O)=O,NNC(NN)=[NH]N,hydrate,3,REJMOL
[NH3]NC(=O)NN,O=N(=O)[N]N1N=NN=C1C1=NN=NN1[N]N(=O)=O,salt,1,REJMUR
O=N(=O)[N]N1N=NN=C1C1=NN=NN1[N]N(=O)=O,NN1C=N[NH]=C1N,salt,1,REJNAY
O=N(=O)[N]N1N=NN=C1C1=NN=NN1[N]N(=O)=O,[NH3]CC[NH3],hydrate,3,REJNEC
[NH4],Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)[O],salt,1,REJPOO
[NH3]C,Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)[O],salt,1,REJPUU
[NH3]CCN,Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)[O],salt,1,REJQAB
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)[O],[NH3]CCO,salt,1,REJQEF
NNC(N)=[NH2],O=N(=O)[N]C1=NON=C1C1=NOC(=NO1)C1=NON=C1[N]N(=O)=O,salt,1,REJSEH
NN1N=NNC1=[NH2],O=N(=O)[N]C1=NON=C1C1=NOC(=NO1)C1=NON=C1[N]N(=O)=O,salt,1,REJSIL
